country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06,1.11,1.19,1.25,1.29,1.22,1.24,1.24,24.2,24.7,25.6,25.9
Luxembourg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54,1.14,1.43,3.32,2.26,1.4,1.38,1.59,32.7,30.6,34.5,32.7
France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,17.7,17.4,18.0
Moldova,0.0,0.0,11.4,11.7,12.3,13.0,13.8,13.5,16.1,15.1,15.6,16.3,17.0,17.9,18.9,19.0,20.1,19.4,18.8,18.9
Canada,16.2,17.0,17.8,18.3,18.8,19.7,19.8,20.7,21.5,22.0,22.4,22.7,23.6,24.1,24.8,25.4,25.7,26.6,25.8,27.9
UK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.961,1.0,0.989,1.07,1.1,1.02,1.06,28.4,29.3,25.1,26.1,33.9
Indonesia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.85,5.78,6.19,7.97,8.48,8.79,8.23
Georgia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,30.2,33.1,30.9,34.7,32.8,34.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA,24.9,25.6,25.9,26.3,26.9,27.5,27.7,27.9,28.4,29.1,29.5,29.7,30.0,30.4,31.1,31.7,32.0,32.5,33.4,32.0
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.06,0.0,0.0,7.12,6.67
Costa Rica,0.0,0.0,0.0,10.4,10.6,10.8,11.1,11.7,12.5,12.7,0.0,0.0,0.0,0.0,0.0,0.0,22.8,21.3,20.6,0.0
Panama,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,20.7,0.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
